First Name*,Middle Name,Last Name*,Email*,Phone,Date of Birth,Gender,Marital Status,Job Title,Department,Manager Email,Employment Type,Employment Status,Join Date,Probation End Date,Create User Account? (Yes/No),Username,Password,Access Role,Basic Salary,Housing Allowance,Transport Allowance,Medical Allowance,Lunch Allowance,Other Allowances,Bank Name,Bank Account Number,Bank Branch,Mobile Money Number,National ID*,Passport Number,TIN Number,NSSF Number,Address,City,District,Emergency Contact Name,Emergency Contact Phone,Emergency Contact Relationship,Notes
Simon,Nakato,Mbabazi,simon.mbabazi@company.co.ug,+256780569316,1987-02-02,Male,Single,Financial Analyst,Finance,,Full-time,Active,2024-12-15,,Yes,simon.mbabazi,Welcome2025!,Employee,7956504,0,750000,450000,200000,900000,Stanbic Bank,3345623234,Kampala Main,,CM903275381530,,,79386774-21,"Plot 155, Old Kampala Road",Mbarara,Gulu,Nakato Nabukenya,+256725878761,Friend,
Lydia,,Ssekitto,lydia.ssekitto@company.co.ug,+256759353889,1984-03-28,Female,Divorced,Recruitment Specialist,Human Resources,manager.humanresources@company.co.ug,Full-time,Active,2019-05-26,,Yes,lydia.ssekitto,Welcome2025!,Employee,4444757,1700000,600000,400000,150000,0,DFCU Bank,1142373762,Kampala Main,,CM748123438265,,5944167413,42681318-84,"Plot 116, Entebbe Road",Jinja,Wakiso,Achen Nalwanga,+256735425526,Child,
Achen,,Byaruhanga,achen.byaruhanga@company.co.ug,+256782365983,1975-06-24,Female,Divorced,Training Coordinator,Human Resources,,Part-time,Active,2022-03-26,2022-09-22,No,,,,6675698,900000,450000,200000,150000,0,Stanbic Bank,2435116475,Central Branch,,CM918589773995,,3690919995,65226318-54,"Plot 220, Nakasero",Kampala,Mbale,Nakato Akello,+256791995434,Friend,
Faith,,Nalwanga,faith.nalwanga@company.co.ug,+256768964845,1981-05-15,Female,Single,HR Officer,Human Resources,manager.humanresources@company.co.ug,Full-time,Active,2015-02-17,,Yes,faith.nalwanga,Welcome2025!,Admin,8424653,900000,450000,0,0,800000,Bank of Africa,5687632537,Kampala Main,,CM823005719499,,,,"Plot 144, Old Kampala Road",Mbarara,Kampala,Charles Asiimwe,+256741709544,Spouse,
Simon,,Asiimwe,simon.asiimwe@company.co.ug,+256760258595,1995-03-28,Male,Married,Payroll Officer,Finance,manager.finance@company.co.ug,Full-time,Active,2014-05-28,,No,,,,3049904,600000,0,450000,0,0,Equity Bank,8829306287,Kampala Main,,CM974227179689,,1935761837,46489788-51,"Plot 130, Ggaba Road",Mbale,Kampala,Joseph Byaruhanga,+256742035244,Spouse,
Joseph,,Kato,joseph.kato@company.co.ug,+256702327992,1978-09-02,Male,Married,Sales Manager,Sales,manager.sales@company.co.ug,Full-time,Active,2018-05-21,2018-11-17,No,,,,2551209,800000,550000,250000,0,400000,DFCU Bank,6217977230,Kampala Branch,+256752975602,CM923854003205,,3732299024,,"Plot 17, Ggaba Road",Mbarara,Jinja,Peter Nabukenya,+256783786791,Sibling,
Brenda,,Nabukeera,brenda.nabukeera@company.co.ug,+256721951900,1983-02-27,Female,Divorced,Business Development Manager,Sales,,Part-time,Active,2015-05-31,,Yes,brenda.nabukeera,Welcome2025!,Admin,6231937,0,450000,550000,300000,1000000,Absa Bank,9195140542,Central Branch,,CM907543342964,,,54953851-85,"Plot 18, Nakasero",Mbarara,Mbale,Lydia Nalwanga,+256712352862,Sibling,
Sarah,,Mbabazi,sarah.mbabazi@company.co.ug,+256739060242,1978-02-14,Female,Widowed,Admin Officer,Operations,manager.operations@company.co.ug,Full-time,Active,2018-08-14,2019-02-10,No,,,,3747542,0,450000,300000,250000,0,Centenary Bank,4800362329,Kampala Branch,+256753324044,CM713205264460,,,,"Plot 13, Ggaba Road",Entebbe,Mukono,Nakato Asiimwe,+256755717882,Sibling,
Prossy,,Nakandi,prossy.nakandi@company.co.ug,+256758991468,1993-06-06,Female,Divorced,Department Manager,Management,manager.management@company.co.ug,Full-time,Active,2025-05-24,,Yes,prossy.nakandi,Welcome2025!,Supervisor,6404594,0,500000,450000,250000,700000,DFCU Bank,9776939356,Kampala Branch,,CM702728731842,,3468564117,60898013-18,"Plot 142, Ggaba Road",Fort Portal,Gulu,Mary Akello,+256757263264,Child,
Gloria,,Nakandi,gloria.nakandi@company.co.ug,+256783597649,1991-04-25,Female,Married,Project Manager,Management,manager.management@company.co.ug,Full-time,Active,2024-09-05,,Yes,gloria.nakandi,Welcome2025!,Employee,7368052,1500000,300000,0,0,0,Stanbic Bank,5556005497,Kampala Branch,,CM896334236007,,4837183557,74885127-70,"Plot 205, Ggaba Road",Mbarara,Mbarara,Lydia Okello,+256784695942,Sibling,
Brian,,Kiwanuka,brian.kiwanuka@company.co.ug,+256757915175,1980-03-12,Male,Single,Financial Analyst,Finance,manager.finance@company.co.ug,Full-time,Active,2023-12-26,,Yes,brian.kiwanuka,Welcome2025!,Admin,2508463,0,650000,0,100000,0,DFCU Bank,6198621728,Kampala Branch,,CM844818574518,,,95410809-54,"Plot 91, Bombo Road",Gulu,Mukono,Charles Ssekitto,+256703061529,Parent,
Gloria,,Nabukeera,gloria.nabukeera@company.co.ug,+256714296463,1991-01-04,Female,Married,Admin Officer,Operations,manager.operations@company.co.ug,Full-time,Active,2017-12-03,2018-06-01,No,,,,2908668,1100000,200000,150000,300000,100000,Centenary Bank,5826284947,Kampala Main,,CM957857185228,,,,"Plot 23, Entebbe Road",Gulu,Wakiso,Charles Kiwanuka,+256717671031,Sibling,
Francis,,Tumwebaze,francis.tumwebaze@company.co.ug,+256705640078,1975-08-02,Male,Widowed,Project Engineer,Engineering,manager.engineering@company.co.ug,Part-time,Active,2021-02-21,,No,,,,5581701,1100000,0,0,100000,600000,Centenary Bank,9411042826,Central Branch,,CM722228317570,,,,"Plot 134, Nakasero",Jinja,Wakiso,Lydia Okello,+256761489133,Friend,
Faith,,Mbabazi,faith.mbabazi@company.co.ug,+256784994003,1983-03-06,Female,Widowed,Executive Director,Management,,Full-time,Active,2021-08-21,,No,,,,5361233,400000,250000,0,0,300000,DFCU Bank,2446784183,Central Branch,,CM910550439752,,2698037828,72903420-29,"Plot 159, Entebbe Road",Masaka,Jinja,Patrick Apio,+256712003952,Sibling,
John,,Kato,john.kato@company.co.ug,+256797034813,1975-10-07,Male,Married,Executive Director,Management,manager.management@company.co.ug,Full-time,Active,2020-11-07,,Yes,john.kato,Welcome2025!,Employee,5505271,800000,0,350000,150000,0,Equity Bank,5250922982,Kampala Branch,+256756049513,CM954968187233,,2375457407,,"Plot 118, Bombo Road",Fort Portal,Wakiso,Samuel Mbabazi,+256755403422,Spouse,
Brian,,Ssekitto,brian.ssekitto@company.co.ug,+256715062937,1996-10-09,Male,Married,HR Manager,Human Resources,,Full-time,Active,2023-11-23,,Yes,brian.ssekitto,Welcome2025!,Employee,3225968,0,500000,150000,0,0,DFCU Bank,4267138488,Central Branch,+256754004867,CM941180556456,,,66875303-63,"Plot 170, Nakasero",Jinja,Kampala,Joseph Kato,+256705821307,Friend,
Rebecca,Mary,Nabukenya,rebecca.nabukenya@company.co.ug,+256765794979,1978-02-27,Female,Married,Auditor,Finance,manager.finance@company.co.ug,Contract,Active,2019-06-02,,No,,,,8994905,0,0,0,200000,0,Absa Bank,8598012912,Central Branch,+256753497450,CM713781258300,,8762971832,56278447-99,"Plot 188, Old Kampala Road",Mbarara,Mbarara,Moses Kato,+256753888549,Spouse,
Ronald,,Kato,ronald.kato@company.co.ug,+256732956274,2005-01-01,Male,Widowed,Sales Manager,Sales,,Full-time,Active,2019-05-08,,No,,,,5976580,1500000,800000,550000,0,0,DFCU Bank,6172207497,Kampala Branch,+256755608870,CM737912865502,,,44511516-36,"Plot 61, Nakasero",Fort Portal,Kampala,Francis Nabukenya,+256745535847,Spouse,
